city,country,lat,lng,temp,humidity,cloudiness,windspeed,cityname,dt
Broome,US,42.25,-75.83,71.6,49,1,11.41,Broome,1590364211
Kapaa,US,22.08,-159.32,81.0,74,1,10.29,Kapaa,1590364145
Cayenne,GF,4.93,-52.33,77.0,100,75,4.52,Cayenne,1590364211
Anjiang,CN,27.32,110.1,65.16,91,100,4.43,Anjiang,1590364211
Kavaratti,IN,10.57,72.64,85.21,76,64,11.3,Kavaratti,1590364211
Chokurdakh,RU,70.63,147.92,33.1,100,100,5.82,Chokurdakh,1590364211
Fortuna,US,40.6,-124.16,64.0,72,40,16.11,Fortuna,1590364211
Ancud,CL,-41.87,-73.82,48.0,87,63,3.36,Ancud,1590364211
Kamenka,RU,51.32,42.77,46.0,87,0,4.54,Kamenka,1590364211
Calbuco,CL,-41.77,-73.13,44.6,100,39,6.78,Calbuco,1590364212
Esperance,AU,-33.87,121.9,57.2,58,40,29.97,Esperance,1590364212
Nuuk,GL,64.18,-51.72,32.0,89,52,14.99,Nuuk,1590364193
Salalah,OM,17.02,54.09,86.0,79,40,4.7,Salalah,1590364212
Līsakovsk,KZ,52.54,62.49,69.08,60,0,9.06,Līsakovsk,1590364212
Kaitangata,NZ,-46.28,169.85,48.99,88,97,5.99,Kaitangata,1590364212
Aksu,CN,41.12,80.26,67.32,38,4,13.22,Aksu,1590364212
São José da Coroa Grande,BR,-8.9,-35.15,78.62,87,68,8.9,São José da Coroa Grande,1590364134
Cabo San Lucas,MX,22.89,-109.91,88.0,34,20,12.75,Cabo San Lucas,1590364057
Southbridge,US,42.08,-72.03,61.0,55,72,5.5,Southbridge,1590364213
Lebu,CL,-37.62,-73.65,58.14,97,94,4.36,Lebu,1590364213
Tuatapere,NZ,-46.13,167.68,50.52,88,96,3.6,Tuatapere,1590364213
Bodden Town,KY,19.28,-81.25,84.2,83,40,10.29,Bodden Town,1590364213
Qaryat Sulūq,LY,31.67,20.25,63.61,65,0,7.43,Qaryat Sulūq,1590364213
Petatlán,MX,17.52,-101.27,86.0,62,5,11.41,Petatlán,1590364213
Villa Carlos Paz,AR,-31.42,-64.5,64.0,50,0,9.17,Villa Carlos Paz,1590364213
Zelenogorskiy,RU,55.03,87.0,57.2,100,20,1.97,Zelenogorskiy,1590364213
Saint-Pierre,RE,-21.34,55.48,68.0,77,75,4.7,Saint-Pierre,1590364213
Khatanga,RU,71.97,102.5,51.1,76,99,14.07,Khatanga,1590364214
Mar del Plata,AR,-38.0,-57.56,57.0,81,100,20.8,Mar del Plata,1590364214
Albany,US,42.6,-73.97,73.99,52,38,5.99,Albany,1590364214
Ushibukamachi,JP,32.19,130.02,70.83,75,100,4.36,Ushibukamachi,1590364214
Kemin,KG,42.78,75.69,61.99,37,0,7.18,Kemin,1590364214
Gunnedah,AU,-30.98,150.25,50.0,100,40,8.01,Gunnedah,1590364214
Banda Aceh,ID,5.56,95.32,78.12,84,100,12.48,Banda Aceh,1590364214
Castro,BR,-24.79,-50.01,53.02,83,100,2.37,Castro,1590364214
Narsaq,GL,60.92,-46.05,53.6,32,5,12.75,Narsaq,1590364214
Khovd,MN,48.01,91.64,61.66,29,27,2.95,Khovd,1590364214
Khasan,RU,42.43,130.64,59.2,68,46,1.72,Khasan,1590364215
Pisco,PE,-13.7,-76.22,64.0,88,40,9.17,Pisco,1590364215
Grindavik,IS,63.84,-22.43,41.0,86,40,10.29,Grindavik,1590364215
Verāval,IN,20.9,70.37,81.32,87,1,11.97,Verāval,1590364215
Gumrak,RU,48.78,44.38,42.8,93,20,2.24,Gumrak,1590364215
Vastse-Kuuste,EE,58.17,26.93,50.0,81,100,9.17,Vastse-Kuuste,1590364215
Gisborne,NZ,-38.65,178.0,62.19,91,100,6.8,Gisborne,1590364215
Buchanan,LR,5.88,-10.05,78.8,94,40,4.7,Buchanan,1590364215
Harper,LR,4.38,-7.72,78.76,88,43,6.76,Harper,1590364215
Pangnirtung,CA,66.15,-65.71,23.43,93,90,0.96,Pangnirtung,1590364215
Koumac,NC,-20.57,164.28,66.74,83,100,3.36,Koumac,1590364216
Kuchera,IN,26.98,73.97,88.03,28,61,11.5,Kuchera,1590364216
Grand Gaube,MU,-20.01,57.66,68.0,83,0,4.0,Grand Gaube,1590364216
Seoul,KR,37.57,126.98,60.8,87,90,1.12,Seoul,1590364081
Cidreira,BR,-30.18,-50.21,58.39,74,89,15.08,Cidreira,1590364022
Codrington,AU,-38.27,141.97,49.91,79,8,7.18,Codrington,1590364216
Souillac,MU,-20.52,57.52,68.0,94,75,6.93,Souillac,1590364216
Maragogi,BR,-9.01,-35.22,78.13,88,82,8.57,Maragogi,1590364104
Shingū,JP,33.73,135.98,71.6,68,40,2.24,Shingū,1590364216
Juliaca,PE,-15.5,-70.13,36.82,70,0,1.39,Juliaca,1590364091
Hong Kong,HK,22.29,114.16,82.0,83,73,8.99,Hong Kong,1590364192
Kiryat Gat,IL,31.61,34.76,66.0,79,0,7.18,Kiryat Gat,1590364217
Labuhan,ID,-6.88,112.21,81.45,86,46,4.63,Labuhan,1590364217
Ruteng,ID,-8.61,120.47,68.99,92,89,2.44,Ruteng,1590364217
Yar-Sale,RU,66.83,70.83,37.38,76,0,15.86,Yar-Sale,1590364217
Port Lincoln,AU,-34.73,135.87,54.25,69,81,8.03,Port Lincoln,1590364217
Bambous Virieux,MU,-20.34,57.76,68.0,94,75,6.93,Bambous Virieux,1590364217
Uyemskiy,RU,64.47,40.85,39.2,70,17,4.47,Uyemskiy,1590364217
Lagoa,PT,39.05,-27.98,64.49,94,100,15.19,Lagoa,1590364217
Beruwala,LK,6.48,79.98,82.2,85,100,11.7,Beruwala,1590364217
Pizarro,CO,4.95,-77.37,80.87,85,84,6.35,Pizarro,1590364218
Puerto Ayora,EC,-0.74,-90.35,75.0,90,73,1.01,Puerto Ayora,1590364218
Cherskiy,RU,68.75,161.3,42.03,58,0,5.97,Cherskiy,1590364218
Tuy Hoa,VN,13.08,109.3,82.53,75,100,5.64,Tuy Hoa,1590364218
Agüimes,ES,27.91,-15.45,71.01,88,0,19.46,Agüimes,1590364218
Badajoz,ES,38.67,-6.17,77.0,53,100,3.0,Badajoz,1590364218
Itaituba,BR,-4.28,-55.98,77.0,92,89,2.24,Itaituba,1590364219
Micheweni,TZ,-4.97,39.83,77.65,86,29,12.71,Micheweni,1590364219
Kalininsk,RU,51.5,44.48,43.65,86,12,5.46,Kalininsk,1590364219
Padang,ID,-0.95,100.35,79.97,68,65,3.38,Padang,1590364219
Guerrero Negro,MX,27.98,-114.06,66.33,66,9,19.17,Guerrero Negro,1590364219
